1.000000| 0.636311, 0.8034300.353526, 
0.000000| 1.617481, 0.1757870.959746, 
0.000000| 0.700583, 0.2880951.645680, 
0.000000| 0.229865, 0.3545031.717887, 
0.000000| 1.421003, 1.0692460.607990, 
0.000000| 0.029969, 1.5537581.779595, 
0.000000| 0.205084, 0.3317971.977050, 
0.000000| 1.360759, 0.2381660.486831, 
0.000000| 0.017823, 0.7557601.792779, 
0.000000| 1.142369, 1.3246251.252663, 
0.000000| 1.257912, 1.3260900.901578, 
0.000000| 0.704245, 0.1115151.215369, 
0.000000| 0.909391, 0.6357011.039766, 
0.000000| 0.603900, 0.6334421.089999, 
0.000000| 1.911802, 1.8514360.361034, 
0.000000| 1.502487, 0.9241620.470656, 
0.000000| 1.241066, 0.4192021.559313, 
255.000000| 1.834895, 1.9935910.740318, 
255.000000| 0.121097, 0.7848750.532426, 
255.000000| 1.100253, 1.6802880.047487, 
255.000000| 0.330576, 0.8882110.778527, 
255.000000| 0.112430, 0.2169260.416517, 
255.000000| 1.734794, 0.5457931.175817, 
255.000000| 1.215674, 1.6752220.736106, 
255.000000| 0.553850, 0.4107181.930113, 
255.000000| 0.936918, 0.6729941.604724, 
255.000000| 0.667074, 0.2165590.622150, 
255.000000| 0.770470, 1.4700161.217933, 
255.000000| 0.923917, 0.8424940.482925, 
255.000000| 0.450209, 1.8298291.605762, 
255.000000| 1.034211, 1.6847441.503098, 
255.000000| 0.776940, 0.3379621.314615, 
255.000000| 0.983795, 0.1270791.717215, 
255.000000| 1.486129, 0.5800351.899167, 
255.000000| 1.118992, 1.2631611.385784, 
255.000000| 0.606098, 1.0778530.140751, 
255.000000| 0.401379, 1.3663750.219245, 
255.000000| 0.038331, 0.4157231.164098, 
255.000000| 0.382702, 0.3557851.634388, 
255.000000| 1.523240, 0.3111061.502731, 
0.000000| 1.203894, 0.8111821.001373, 
0.000000| 1.137486, 1.3644831.323954, 
0.000000| 1.863948, 1.1050141.242286, 
0.000000| 0.735618, 1.8691370.070193, 
0.000000| 1.034028, 1.6993930.852443, 
0.000000| 1.228980, 1.8986791.842769, 
0.000000| 1.099094, 1.6970731.032075, 
0.000000| 0.779992, 0.6154360.633747, 
0.000000| 0.912198, 1.5930051.965941, 
0.000000| 0.595599, 0.9332561.828608, 
0.000000| 1.351299, 1.6834011.329264, 
0.000000| 1.126499, 1.7971740.984222, 
0.000000| 0.054933, 1.9892571.903134, 
0.000000| 0.370128, 1.0626541.677236, 
0.000000| 1.982604, 1.2535170.935881, 
0.000000| 0.395703, 1.8757900.246651, 
0.000000| 0.064943, 1.4862510.628132, 
0.000000| 1.882138, 0.8481700.672628, 
0.000000| 1.381756, 1.4661701.669240, 
0.000000| 0.045412, 1.5118261.494430, 
0.000000| 1.005097, 0.2889491.407575, 
0.000000| 0.560930, 0.0748311.705252, 
0.000000| 1.300089, 0.0258190.329356, 
0.000000| 0.028504, 1.3223671.953185, 
255.000000| 1.504440, 1.8790861.086886, 
255.000000| 1.927488, 1.0820640.742088, 
255.000000| 1.420148, 0.0448010.873379, 
255.000000| 0.464858, 0.0958281.065157, 
255.000000| 0.420545, 0.3203831.008271, 
255.000000| 1.926084, 0.4605241.849605, 
255.000000| 1.879147, 0.6718961.827570, 
255.000000| 1.990356, 0.9148841.996033, 
255.000000| 1.882199, 1.2503430.725486, 
255.000000| 0.875454, 1.8630330.096866, 
255.000000| 1.789239, 1.8238470.794702, 
255.000000| 1.538133, 1.5804320.143864, 
255.000000| 1.851619, 0.3631701.977905, 
255.000000| 0.932707, 1.1956541.165441, 
255.000000| 1.908628, 1.4048890.930998, 
255.000000| 1.441816, 1.1315041.312601, 
255.000000| 0.368542, 0.4005251.110263, 
255.000000| 1.810175, 0.6795861.528977, 
255.000000| 1.209449, 0.1130411.984985, 
255.000000| 0.702597, 0.9889221.731376, 
255.000000| 1.481491, 1.2240971.240761, 
255.000000| 1.382244, 1.6090580.298227, 
255.000000| 0.453627, 1.7354661.021455, 
255.000000| 0.170415, 1.4553671.161473, 
255.000000| 0.186712, 1.9530630.630024, 
255.000000| 0.069277, 0.6116520.932096, 
255.000000| 1.085238, 1.7380901.727042, 
255.000000| 0.146672, 0.3097630.653829, 
255.000000| 0.444655, 1.0179750.006165, 
0.000000| 0.144292, 1.6862090.167058, 
0.000000| 0.817957, 0.7076021.894162, 
0.000000| 1.002411, 1.7012851.166356, 
0.000000| 1.243995, 1.5710321.653371, 
0.000000| 1.739494, 0.7232280.525285, 
0.000000| 0.600116, 1.5894040.562944, 
0.000000| 0.131474, 0.7375101.049165, 
0.000000| 1.219275, 1.9122291.187963, 
0.000000| 1.121006, 1.3077180.550737, 
0.000000| 1.177892, 0.3338721.476852, 
0.000000| 0.580584, 1.8399611.102329, 
0.000000| 1.325602, 0.5050810.985076, 
0.000000| 0.875332, 0.5215611.586718, 
0.000000| 1.018525, 0.7647331.376324, 
0.000000| 0.814295, 1.7639700.790368, 
0.000000| 0.011780, 1.0643640.201239, 
0.000000| 1.653188, 1.7264930.983001, 
0.000000| 1.494675, 1.8485060.760216, 
0.000000| 0.887234, 1.1056250.399731, 
255.000000| 1.911435, 1.2616961.027558, 
255.000000| 0.748497, 0.5097201.685659, 
255.000000| 1.903439, 1.6709491.082247, 
255.000000| 0.659688, 1.0050970.459487, 
255.000000| 0.771142, 1.6941431.784722, 
255.000000| 1.193762, 1.4432811.707938, 
255.000000| 0.029359, 0.2529370.567583, 
255.000000| 0.250191, 0.4351330.131901, 
255.000000| 0.337840, 1.2482070.681967, 
255.000000| 0.451003, 1.3442791.754509, 
255.000000| 1.604785, 1.6137581.732963, 
255.000000| 0.691183, 1.6931670.272713, 
255.000000| 1.028047, 1.2603530.804834, 
255.000000| 0.507401, 0.2730801.710379, 
